username,created,text,retwc,hashtag,followers,friends,location,age
Florian Vidal,2018-01-21 20:42:42,"b'RT @serenawilliams: This video literally gave me chills, I am so excited to watch Nigeria compete in the winter Olympics bobsledding race t\xe2\x80\xa6'",10206,None,407,53,
Get Coached,2018-01-21 20:42:35,b'Good luck to our local champ heading to the Winter Olympics! #SelfBelief #Motivated #Strong #fast #TeamGB... https://t.co/TqrE8hyUog',0,SelfBelief,90,133,Ayrshire
KATHIE GNOLFO,2018-01-21 20:42:35,b'https://t.co/tOleOiwygv\nVERY COOL AND I WILL BE PRAYING IN INTERCESSION FOR KOREA AS A UNITED COUNTRY \nTHAT THEY WO\xe2\x80\xa6 https://t.co/xOclQlw8IE',0,None,34,430,
jeffmetcalfe,2018-01-21 20:42:28,b'Winter Olympics in film https://t.co/zEs4wwH4fg',0,None,7733,7751,Metro Phoenix
Nykyo,2018-01-21 20:42:21,b'RT @sreidocregister: Road to @pyeongchang Adam Rippon @Adaripp finds himself on and off the ice on the way to the Olympics @TeamUSA @USFigu\xe2\x80\xa6',2,None,187,504,
Aggy,2018-01-21 20:42:16,b'RT @nessvdh: @LynnRaisman @USAGym @KerryJPerry Are you kidding me?!? SHAME on you @USAGym. The public is disgusted and outraged by the cowa\xe2\x80\xa6',1,None,1840,1730,
Marie-Eve Mongrain,2018-01-21 20:42:14,b'@socalixte @CBCNews No problem. They are shuffling teams to find the best pairings for the olympics.',0,None,2117,1872,
changkyun is my main vocal,2018-01-21 20:42:11,b'RT @illest_maknae: Changkyun: MONSTA X WORLD TOUR 2018\n\nMe: *applying for jobs like it was the olympics to able to support them* https://t.\xe2\x80\xa6',13,None,559,468,
Buzi Brown,2018-01-21 20:42:05,"b'RT @serenawilliams: This video literally gave me chills, I am so excited to watch Nigeria compete in the winter Olympics bobsledding race t\xe2\x80\xa6'",10206,None,729,540,Lasgidi
Madison Call,2018-01-21 20:42:04,b'Every 4 years I become VERY INTERESTED in the Winter Olympics and it\xe2\x80\x99s really only because of @shaunwhite',0,None,108,133,
Rena meeter,2018-01-21 20:42:03,b'RT @TeamUSA: \xe2\x9c\x85 QUALIFIED! We can\xe2\x80\x99t wait to watch @Jared_Goldberg race by in the downhill ski event at the #WinterOlympics! #FastandFurious\xe2\x80\xa6',13,WinterOlympics,6091,2421,"Lakewood, CO"
jahkotta🖖🏾👩🏾‍🚀,2018-01-21 20:41:58,b'Pita  Taufatofua qualified for the Olympics \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe',0,None,1142,1162,Hawaii
Skiin 🐱 Glee,2018-01-21 20:41:57,"b""Head of North Korean girl band handpicked by Kim Jong-un to lead the country's team to the historic Winter Olympics\xe2\x80\xa6 https://t.co/OY7ugPtjNp""",0,None,14079,12811,Right here. Meow to you too!
Inside Skating,2018-01-21 20:41:48,b'RT @sywtwfs: Team Russia/OAR for the 2018 Olympics (pending clearance from IOC) https://t.co/d8tfVE02La https://t.co/lQWBXPK6mC',50,None,5453,656,
Olawunmi,2018-01-21 20:41:48,"b'RT @serenawilliams: This video literally gave me chills, I am so excited to watch Nigeria compete in the winter Olympics bobsledding race t\xe2\x80\xa6'",10206,None,384,390,Gidi
Moody Steve,2018-01-21 20:41:43,"b'RT @ucjtlllll: @FreeMyNation My mother was Danish ... and I went to the 1980 &amp; 1984 Olympics, 4 World Student Games - carried GB flag in op\xe2\x80\xa6'",46,None,294,260,
dosh diddle,2018-01-21 20:41:43,b'RT @TheHirstComment: YES YES YES .......   \n\nJacob Rees-Mogg supports calls for \xe2\x80\x98biggest party since Olympics\xe2\x80\x99 to celebrate Brexit     \n\nht\xe2\x80\xa6',96,None,346,293,
meshka the kvetch,2018-01-21 20:41:43,"b""I really like Javi's Don Quixote program. I don't always like his programs, so I'm glad he's skating this at the Olympics""",0,None,240,147,Boston(ish)
Radiostudioweb,2018-01-21 20:41:41,b'Avril Lavigne - Fly for Special Olympics',0,None,391,244,Italy/Chile
Guro Margrethe,2018-01-21 20:41:27,b'To the Sponsors of PyeongChang 2018 Winter Olympics in South Korea: please help bring an end to the d... https://t.co/CwdUezuGdO via @Change',0,None,208,476,
anne-marie B.D,2018-01-21 20:41:26,b'RT @Sportsnet: USA hockey GM Jim Johannson passes away unexpectedly at Colorado Springs home: https://t.co/ycFqA0Kq47 https://t.co/DBu8I4BK\xe2\x80\xa6',6,None,577,991,somewhere in qc 
Victoria Ramle,2018-01-21 20:41:17,b'RT @Cat_Kapow: .@Seoul_gov &amp; #Southkorean #media know that people all around world are boycotting #winterolympics #pyeongchang because of c\xe2\x80\xa6',74,Southkorean,347,1438,
Song-Won Anthony Lee,2018-01-21 20:41:15,"b""RT @annafifield: North Korean singer Hyon Song Wol sets hearts aflutter in South Korea -- which is, of course, exactly what Kim Jong Un's r\xe2\x80\xa6""",64,None,1972,2097,대한민국
THE MILITARY MATTERS,2018-01-21 20:41:13,b'RT @FIGHTINGVETERAN: @carolehers SHAME ON DALE EARNHARDT JR &gt; @DaleJr Dale Earnhardt Jr. to work Super Bowl and Olympics for @NBC &lt; #Boycot\xe2\x80\xa6',1,None,4512,4011,
Chris 'CT' Tracy,2018-01-21 20:41:10,"b'@sabrinaox The gym is too expensive. If you have stairs, or can go to a relative with stairs - use them! When I was\xe2\x80\xa6 https://t.co/JJ6NWvYBHP'",0,None,7211,7216,Cave Dweller!
no,2018-01-21 20:41:09,"b'RT @Reuters: North Korea to send team to Winter Games, South to consider easing bans after talks https://t.co/V8hVm3sbg1 https://t.co/2m10K\xe2\x80\xa6'",1592,None,47,40,italia
Maggie Dershowitz,2018-01-21 20:41:05,b'Kim Jong Un\xe2\x80\x99s Winter Olympics \xe2\x80\x98Army of Beauties\xe2\x80\x99\xe2\x80\x94and Me https://t.co/OEunKu7STw',0,None,988,887,"Highland Park, NJ"
